TIME	TYPE	COMMAND	ARG	HOST		ARG
	PEPPER	start_animation				
11:15	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
11:15	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
12:12	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
12:12	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
13:25	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
13:25	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
13:29	PEPPER	start_animation	aplot/1hello	A_PLOT	aplot/	1hello
13:32	PEPPER	start_animation	bplot/1howareyou	B_PLOT	bplot/	1howareyou
13:38	PEPPER	start_animation	aplot/2great	A_PLOT	aplot/	2great
13:41	PEPPER	start_animation	bplot/2weather	B_PLOT	bplot/	2weather
13:43	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
13:43	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
13:44	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
13:44	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
13:46	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
13:46	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
13:55	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
13:58	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
14:06	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:07	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:10	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
14:11	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
14:18	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:18	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
14:24	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:30	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:35	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:35	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
14:45	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:55	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:56	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
14:57	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
15:05	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
15:08	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
15:11	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
15:12	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
15:15	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
15:16	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
15:21	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
15:27	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
15:27	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
15:28	PEPPER	start_animation				
